"","SiteID","NumericDate","Watershed","d15Nit","d18ONit","OM_SizeClass","Watershed.x","Month","d15N","d13C","SampleID","dD","PerH","dD.comments"
"1","1700",140910,"Jordan",10.55,-5.38,"DOM","Jordan","Sep","22.24","-30.7",148,-131.5,0.8,""
"13","5400",140910,"Jordan",14.05,-0.63,"DOM","Jordan","Sep","9.95","-25.86",143,-103.3,0.7,""
"17","7800",140910,"Jordan",9.42,-0.17,"DOM","Jordan","Sep","12.08","-28.69",142,-96.1,0.9,""
"117","Ulake",140910,"Jordan",0.35,22.16,"DOM","Jordan","Sep","3.49","-28.81",141,-116,0.8,""
"5","2300",140912,"Jordan",10.6366666666667,-5.02333333333333,"DOM","Jordan","Sep","23.67","-26.46",147,-131.4,0.6,""
"9","3300",140912,"Jordan",10.15,-1.96,"DOM","Jordan","Sep","15.91","-27.01",144,-120.1,0.8,""
"21","Cudahy",140912,"Jordan",10.69,-4.71,"DOM","Jordan","Sep","23.1","-26.07",149,-128.7,0.8,""
"53","MillUp",140912,"Jordan",7.55,-3.85,"DOM","Jordan","Sep","9.5","-27.09",145,-133.8,0.8,""
"54","MillUp",140912,"Jordan",7.55,-3.85,"DOM","Jordan","Sep","9.5","-27.09",146,-109.9,0.4,""
"11","3300",141124,"Jordan",10.85,-2.83,"DOM","Jordan","Nov","submitted","submitted",177,-103.6,0.9,""
"16","5400",141124,"Jordan",14.47,-0.1,"DOM","Jordan","Nov","submitted","submitted",176,-87.9,0.8,""
"20","7800",141124,"Jordan",8.67,-3.48,"DOM","Jordan","Nov","submitted","submitted",175,-106.7,0.9,""
"119","Ulake",141124,"Jordan",13.96,5.03,"DOM","Jordan","Nov","submitted","submitted",174,-75.7,1,""
"4","1700",141126,"Jordan",11.97,-3.31,"DOM","Jordan","Nov","submitted","submitted",181,-103.6,0.9,""
"8","2300",141126,"Jordan",13.15,-4.42,"DOM","Jordan","Nov","submitted","submitted",180,-116.8,0.7,""
"24","Cudahy",141126,"Jordan",13.19,-3.83,"DOM","Jordan","Nov","submitted","submitted",182,-99,0.8,""
"51","MillDown",141126,"Jordan",13.4,-3.565,"DOM","Jordan","Nov","submitted","submitted",179,-127.6,0.5,""
"56","MillUp",141126,"Jordan",7.8,-3.74,"DOM","Jordan","Nov","submitted","submitted",178,-117.8,1.2,""
"27","LR_Franklin_BA",140904,"Logan",4.12,-4.51,"DOM","Logan","Sep",NA,NA,158,-201.4,0.5,""
"37","LR_Mendon_AA",140904,"Logan",13.38,-0.5,"DOM","Logan","Sep",NA,NA,165,-164.1,0.9,""
"44","LR_TonyGrove_BA",140904,"Logan",4.98,-5.38,"DOM","Logan","Sep","3.34","-28.71",159,-174.9,0.9,""
"47","LR_WaterLab_AA",140904,"Logan",3.78,-3.48,"DOM","Logan","Sep","2.7","-23.86",161,-189.3,0.6,""
"41","LR_Temple",140907,"Logan",3.84,-3.99,"DOM","Logan","Sep",NA,NA,160,-186.5,0.7,""
"34","LR_MainSt_BA",140911,"Logan",7.78,14.38,"DOM","Logan","Sep",NA,NA,162,-190,0.8,""
"25","LR_CanalGarff",140913,"Logan",4.12,-4.33,"DOM","Logan","Sep","7.67","-28.65",163,-144.5,0.8,""
"31","LR_HWY252",140913,NA,NA,NA,"DOM","Logan","Sep","2.92","-25.66",164,-173.1,0.8,""
"26","LR_CanalGarff",141120,"Logan",5.21,-3.05,"DOM","Logan","Nov","submitted","submitted",196,-189,0.7,""
"35","LR_MainSt_BA",141120,"Logan",4.07,-4.63,"DOM","Logan","Nov","submitted","submitted",195,-187.9,0.8,""
"46","LR_TonyGrove_BA",141120,"Logan",4.64,-2.94,"DOM","Logan","Nov","submitted","submitted",192,-193,0.6,""
"49","LR_WaterLab_AA",141120,"Logan",3.95,-3.99,"DOM","Logan","Nov","submitted","submitted",194,-186.3,0.7,""
"43","LR_Temple",141122,"Logan",4.14,-5.35,"DOM","Logan","Nov","submitted","submitted",193,-193.9,0.6,""
"28","LR_Franklin_BA",141125,"Logan",3.63,-4.61,"DOM","Logan","Nov","submitted","submitted",191,-193.1,0.6,""
"33","LR_HWY252",141202,"Logan",7.64,-2.89,"DOM","Logan","Dec","submitted","submitted",197,-186.1,0.9,""
"40","LR_Mendon_AA",141202,"Logan",8.6,-2.41,"DOM","Logan","Dec","submitted","submitted",198,-172,0.9,""
"59","PR_BJ_AA",140903,"Provo",2.64,-6.95,"DOM","Provo","Sep","4.22","-26.02",167,-135.4,1.1,""
"60","PR_CanyonView",140903,"Provo",8.7,-4.16,"DOM","Provo","Sep",NA,NA,173,-170.7,0.7,""
"65","PR_CH_AA",140903,"Provo",7.25,-2.78,"DOM","Provo","Sep","1.09","-25.97",171,-166.8,0.8,""
"68","PR_LM_BA",140903,"Provo",5.94333333333333,-1.96,"DOM","Provo","Sep","5.85","-26.56",168,-137.9,1.1,""
"72","PR_SnakeCreekRR",140903,"Provo",8.95,-4.5,"DOM","Provo","Sep","8.86","-27.76",170,-102.9,0.9,""
"76","PR_SpringCreek",140903,"Provo",9.76,-3.08,"DOM","Provo","Sep","5.41","-27.27",169,-172.1,0.7,""
"80","PR_ST_BA",140903,"Provo",1.78,0.89,"DOM","Provo","Sep",NA,NA,166,-141.7,1.6,""
"83","PR_Vivian",140903,"Provo",8.42,-4.83,"DOM","Provo","Sep","5.6","-26.6",172,-138.2,0.8,""
"62","PR_CanyonView",141112,"Provo",6.07,-4.19,"DOM","Provo","Nov","submitted","submitted",205,-156.9,0.6,""
"66","PR_CH_AA",141112,"Provo",5.77,-3.81,"DOM","Provo","Nov","submitted","submitted",204,-151,0.8,""
"70","PR_LM_BA",141112,"Provo",7.95,0.36,"DOM","Provo","Nov","submitted","submitted",200,-132.1,0.9,""
"74","PR_SnakeCreekRR",141112,"Provo",9.68,-4.23,"DOM","Provo","Nov","submitted","submitted",202,-131.6,0.6,""
"77","PR_SpringCreek",141112,"Provo",9.51,-2.75,"DOM","Provo","Nov","submitted","submitted",201,-170.3,0.8,""
"81","PR_ST_BA",141112,"Provo",1.34,-3.22,"DOM","Provo","Nov","submitted","submitted",199,-160.5,1.7,"small peak/no material left"
"84","PR_Vivian",141112,"Provo",5.83,-3.98,"DOM","Provo","Nov","submitted","submitted",203,-148.9,0.8,""
"87","RB_1300E",140901,"Red Butte",6.65,-4.76,"DOM","Red Butte","Sep","7.5","-24.74",156,-170.2,0.7,""
"89","RB_900W_BA",140901,"Red Butte",9.62,-0.63,"DOM","Red Butte","Sep","13.05","-28",157,-108,1,""
"94","RB_ARBR_AA",140901,"Red Butte",3.64,-9,"DOM","Red Butte","Sep","1.39","-27.28",153,-101.7,1,""
"98","RB_CG_BA",140901,"Red Butte",5.33,-7.45,"DOM","Red Butte","Sep","3.27","-28.07",154,-108,1,""
"101","RB_FD_AA",140901,"Red Butte",4.99,-7.75,"DOM","Red Butte","Sep","3.41","-27.09",155,-100.4,1.2,""
"104","RB_KF_BA",140901,"Red Butte",4.48,-7.43,"DOM","Red Butte","Sep","6.78","-24.72",150,-135.9,0.9,""
"108","RB_RBG_BA",140901,"Red Butte",3.50333333333333,-10.1633333333333,"DOM","Red Butte","Sep","3.63","-28.18",152,-109,1,""
"113","RB_TM",140901,"Red Butte",4.37,-9.57,"DOM","Red Butte","Sep","8.03","-25.26",151,-147.4,0.8,""
"88","RB_1300E",141118,"Red Butte",6.6,-4.67,"DOM","Red Butte","Nov","submitted","submitted",189,-156.1,1.1,""
"91","RB_900W_BA",141118,"Red Butte",9.35,-2.73,"DOM","Red Butte","Nov","submitted","submitted",190,-88.1,1.1,""
"96","RB_ARBR_AA",141118,"Red Butte",13.11,23.25,"DOM","Red Butte","Nov","submitted","submitted",186,-117.7,1.1,""
"100","RB_CG_BA",141118,"Red Butte",8.16,27.72,"DOM","Red Butte","Nov","submitted","submitted",187,-133.9,1.2,""
"103","RB_FD_AA",141118,"Red Butte",18.19,25.23,"DOM","Red Butte","Nov","submitted","submitted",188,-139.8,1.2,""
"106","RB_KF_BA",141118,"Red Butte",4.87,-6.41,"DOM","Red Butte","Nov","submitted","submitted",183,-158.6,1,""
"111","RB_RBG_BA",141118,"Red Butte",5.32,-3.18,"DOM","Red Butte","Nov","submitted","submitted",185,-150,1.2,""
"114","RB_TM",141118,"Red Butte",9.92,11.3,"DOM","Red Butte","Nov","submitted","submitted",184,-133.1,1,""
"2","1700",140910,"Jordan",10.55,-5.38,"FPOM","Jordan","Sep","7.065","-22.52",35,-162.1,0.8,""
"14","5400",140910,"Jordan",14.05,-0.63,"FPOM","Jordan","Sep","8.7","-22.025",30,-167.4,0.8,""
"18","7800",140910,"Jordan",9.42,-0.17,"FPOM","Jordan","Sep","5.645","-21.85",29,-168.5,0.7,""
"116","Ulake",140910,"Jordan",0.35,22.16,"FPOM","Jordan","Sep","9.433333333","-9.923333333",28,-165.6,0.6,""
"6","2300",140912,"Jordan",10.6366666666667,-5.02333333333333,"FPOM","Jordan","Sep","7.09","-17.7",32,-159.7,0.9,""
"10","3300",140912,"Jordan",10.15,-1.96,"FPOM","Jordan","Sep","5.595","-23.495",31,-162.7,0.8,""
"22","Cudahy",140912,"Jordan",10.69,-4.71,"FPOM","Jordan","Sep","8.34","-20.96",36,-158.5,0.9,""
"50","MillDown",140912,"Jordan",11.28,-5.82,"FPOM","Jordan","Sep","6.58","-23.69",33,-119.3,2.2,""
"55","MillUp",140912,"Jordan",7.55,-3.85,"FPOM","Jordan","Sep","7.51","-23.54",34,-161.8,1.1,""
"12","3300",141124,"Jordan",10.85,-2.83,"FPOM","Jordan","Nov","submitted","submitted",62,-154,0.9,""
"15","5400",141124,"Jordan",14.47,-0.1,"FPOM","Jordan","Nov","submitted","submitted",61,-162.5,1,""
"19","7800",141124,"Jordan",8.67,-3.48,"FPOM","Jordan","Nov","submitted","submitted",60,-161.8,0.7,""
"118","Ulake",141124,"Jordan",13.96,5.03,"FPOM","Jordan","Nov","submitted","submitted",59,-170.7,0.8,""
"3","1700",141126,"Jordan",11.97,-3.31,"FPOM","Jordan","Nov","submitted","submitted",66,-150.7,1.2,""
"7","2300",141126,"Jordan",13.15,-4.42,"FPOM","Jordan","Nov","submitted","submitted",63,-150.9,1.4,""
"23","Cudahy",141126,"Jordan",13.19,-3.83,"FPOM","Jordan","Nov","submitted","submitted",58,-130.5,1.1,""
"52","MillDown",141126,"Jordan",13.4,-3.565,"FPOM","Jordan","Nov","submitted","submitted",64,-140.4,3,"small peak/no material left"
"57","MillUp",141126,"Jordan",7.8,-3.74,"FPOM","Jordan","Nov","submitted","submitted",65,-159.1,0.9,""
"38","LR_Mendon_AA",140904,"Logan",13.38,-0.5,"FPOM","Logan","Sep","7.58","-29.03",12,-202,1.2,""
"45","LR_TonyGrove_BA",140904,"Logan",4.98,-5.38,"FPOM","Logan","Sep","3.82","-28.67",10,-204.6,1.5,""
"48","LR_WaterLab_AA",140904,"Logan",3.78,-3.48,"FPOM","Logan","Sep",NA,NA,11,-169.1,0.8,""
"30","LR_HWY252",140913,NA,NA,NA,"FPOM","Logan","Sep","5.4","-28.27",13,-175.5,1.1,""
"36","LR_MainSt_BA",141120,"Logan",4.07,-4.63,"FPOM","Logan","Nov","submitted","submitted",44,NA,NA,"no peak/no material left"
"42","LR_Temple",141122,"Logan",4.14,-5.35,"FPOM","Logan","Nov","submitted","submitted",39,-200.9,0.6,"small peak/no material left"
"29","LR_Franklin_BA",141125,"Logan",3.63,-4.61,"FPOM","Logan","Nov","submitted","submitted",38,NA,NA,"no peak/no material left"
"32","LR_HWY252",141202,"Logan",7.64,-2.89,"FPOM","Logan","Nov","submitted","submitted",42,-158,0.4,"small peak/no material left"
"39","LR_Mendon_AA",141202,"Logan",8.6,-2.41,"FPOM","Logan","Nov","submitted","submitted",43,-187.7,0.5,"small peak/no material left"
"58","PR_BJ_AA",140903,"Provo",2.64,-6.95,"FPOM","Provo","Sep","4.89","-28.17",15,-138.2,1.5,""
"61","PR_CanyonView",140903,"Provo",8.7,-4.16,"FPOM","Provo","Sep",NA,NA,21,-145,1.4,""
"64","PR_CH_AA",140903,"Provo",7.25,-2.78,"FPOM","Provo","Sep","4.88","-27.02",16,-185.9,1.9,""
"67","PR_LM_BA",140903,"Provo",5.94333333333333,-1.96,"FPOM","Provo","Sep","5.44","-25.77",17,-169.2,0.8,""
"71","PR_SnakeCreekRR",140903,"Provo",8.95,-4.5,"FPOM","Provo","Sep","6.995","-28.435",19,-149.6,1.1,""
"75","PR_SpringCreek",140903,"Provo",9.76,-3.08,"FPOM","Provo","Sep","4.62","-28.3",18,-180,1.2,""
"79","PR_ST_BA",140903,"Provo",1.78,0.89,"FPOM","Provo","Sep","2.75","-25.77",14,-136.4,1.6,""
"82","PR_Vivian",140903,"Provo",8.42,-4.83,"FPOM","Provo","Sep","9.71","-29.2",20,-168.1,1,""
"63","PR_CanyonView",141112,"Provo",6.07,-4.19,"FPOM","Provo","Nov","submitted","submitted",51,-188.6,1.3,""
"69","PR_LM_BA",141112,"Provo",7.95,0.36,"FPOM","Provo","Nov","submitted","submitted",47,NA,NA,"no peak/no material left"
"73","PR_SnakeCreekRR",141112,"Provo",9.68,-4.23,"FPOM","Provo","Nov","submitted","submitted",49,-192.4,1.5,""
"78","PR_SpringCreek",141112,"Provo",9.51,-2.75,"FPOM","Provo","Nov","submitted","submitted",48,-181.9,1.5,""
"85","PR_Vivian",141112,"Provo",5.83,-3.98,"FPOM","Provo","Nov","submitted","submitted",50,-142.3,0.9,"small peak/no material left"
"86","RB_1300E",140901,"Red Butte",6.65,-4.76,"FPOM","Red Butte","Sep",NA,NA,26,-153,0.2,""
"90","RB_900W_BA",140901,"Red Butte",9.62,-0.63,"FPOM","Red Butte","Sep",NA,NA,27,-154.7,0.8,""
"93","RB_ARBR_AA",140901,"Red Butte",3.64,-9,"FPOM","Red Butte","Sep","3.83","-26.84",24,-150.5,0.8,""
"97","RB_CG_BA",140901,"Red Butte",5.33,-7.45,"FPOM","Red Butte","Sep",NA,NA,25,-164.4,1.2,""
"102","RB_FD_AA",140901,"Red Butte",4.99,-7.75,"FPOM","Red Butte","Sep","3.52","-28.16",9,-126.9,0.9,""
"105","RB_KF_BA",140901,"Red Butte",4.48,-7.43,"FPOM","Red Butte","Sep","5.025","-27.23",22,-170.7,0.9,""
"109","RB_RBG_BA",140901,"Red Butte",3.50333333333333,-10.1633333333333,"FPOM","Red Butte","Sep",NA,NA,23,-169,0.9,""
"112","RB_TM",140901,"Red Butte",4.37,-9.57,"FPOM","Red Butte","Sep","4.34","-27.28",37,-148.5,2.7,""
"92","RB_900W_BA",141118,"Red Butte",9.35,-2.73,"FPOM","Red Butte","Nov","submitted","submitted",57,-151.4,1.4,"small peak/no material left"
"95","RB_ARBR_AA",141118,"Red Butte",13.11,23.25,"FPOM","Red Butte","Nov","submitted","submitted",54,-170.8,1.3,""
"99","RB_CG_BA",141118,"Red Butte",8.16,27.72,"FPOM","Red Butte","Nov","submitted","submitted",56,-132.8,0.8,"small peak/no material left"
"107","RB_KF_BA",141118,"Red Butte",4.87,-6.41,"FPOM","Red Butte","Nov","submitted","submitted",52,-160.2,2.9,"small peak/no material left"
"110","RB_RBG_BA",141118,"Red Butte",5.32,-3.18,"FPOM","Red Butte","Nov","submitted","submitted",55,-168,1.2,"small peak/no material left"
"115","RB_TM",141118,"Red Butte",9.92,11.3,"FPOM","Red Butte","Nov","submitted","submitted",53,-172.9,1.6,""
